CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2021,9.4187,0
1.203,9.3125,0
1.2031,9.2303,0
1.2029,9.3248,0
1.2027,9.3768,0
1.2034,9.3654,0
1.2034,9.3257,0
1.2033,9.3452,0
1.2032,9.2506,0
1.2037,9.1423,0
1.2036,9.0386,0
1.2035,9.0524,0
1.2032,9.1849,0
1.203,9.1475,0
1.2027,9.1652,0
1.2033,9.2185,0
1.2024,9.4692,0
1.2035,9.5274,0
1.2037,9.4818,0
1.2036,9.4344,0
1.2035,9.6537,0
1.2033,9.7255,0
1.2032,9.785,0
1.2031,9.9947,0
1.2028,10.1134,0
1.2025,10.088,0
1.2028,10.1734,0
1.2032,10.1736,0
1.2036,10.2089,0
1.2036,10.2538,0
1.203,10.3499,0
1.2025,10.3713,0
1.2032,10.3827,0
1.2026,10.3187,0
1.2028,10.3191,0
1.2027,10.2742,0
1.202,10.4512,0
1.2033,10.3694,0
1.2036,10.3834,0
1.2031,10.6034,0
1.2024,10.545,0
1.2031,10.7712,0
1.2029,10.9096,0
1.2028,11.0412,0
1.2026,11.1237,0
1.2024,11.076,0
1.2036,11.1418,0
1.2032,11.0975,0
1.2037,10.9704,0
1.2026,10.9214,0
1.2031,10.8935,0
1.2028,10.9827,0
1.2028,10.9915,0
1.2026,10.8372,0
1.2028,10.9506,0
1.2029,10.8427,0
1.202,10.8071,0
1.2032,10.7713,0
1.2038,10.6487,0
1.2039,10.6075,0
1.2035,10.4695,0
1.203,10.4186,0
1.2025,10.4981,0
1.2032,10.4553,0
1.2032,10.3426,0
1.2032,10.2645,0
1.2027,10.1379,0
1.2023,10.1391,0
1.2023,10.0791,0
1.2026,10.0523,0
1.2027,10.0546,0
1.2028,10.0088,0
1.2029,10.0054,0
1.2038,10.0182,0
1.2031,10.1248,0
1.2033,10.0624,0
1.2033,10.1074,0
1.2036,10.0957,0
1.2039,10.0818,0
1.2036,9.9795,0
1.2039,10.1512,0
1.2039,10.267,0
1.2034,10.2843,0
1.2035,10.2133,0
1.2033,10.1657,0
1.2031,10.2019,0
1.2022,10.2511,0
1.2028,10.249,0
1.2031,10.3959,0
1.2035,10.5017,0
1.2028,10.191,0
1.2028,10.0273,0
1.2027,10.0792,0
1.2032,9.9845,0
