index,nfd-1-cps,nfd-1-cr,rr-active-state,rr-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position
0,6.4614,-2.996,-1,-0.145,-1,-0.0268,-1,-0.0042
1,6.3753,-2.9665,-1,-0.1451,-1,-0.0264,-1,-0.0046
2,6.3759,-2.8953,-1,-0.1451,-1,-0.0262,-1,-0.0046
3,6.2963,-2.8836,-1,-0.1452,-1,-0.0259,-1,-0.0045
4,6.2027,-2.8057,-1,-0.1449,-1,-0.0266,-1,-0.0048
5,6.1918,-2.7329,-1,-0.1452,-1,-0.0262,-1,-0.0045
6,6.3324,-2.5909,-1,-0.1447,-1,-0.0261,-1,-0.0045
7,6.5086,-2.3945,-1,-0.1448,-1,-0.0264,-1,-0.0044
8,7.2614,-1.6419,-1,-0.1453,-1,-0.0264,-1,-0.0043
9,8.6423,-0.9079,-1,-0.1453,-1,-0.0266,-1,-0.0049
10,9.891,-0.3622,-1,-0.1453,-1,-0.0262,-1,-0.0045
11,10.8705,0.0963,-1,-0.1452,-1,-0.0268,-1,-0.0045
12,11.9472,0.6112,-1,-0.145,-1,-0.0263,-1,-0.0041
13,13.019,1.067,-1,-0.145,-1,-0.0269,-1,-0.0046
14,14.4993,1.7825,-1,-0.1454,-1,-0.026,-1,-0.0046
15,16.1738,2.4405,-1,-0.145,-1,-0.0261,-1,-0.0048
16,18.34,3.291,-1,-0.1451,-1,-0.0265,-1,-0.0047
17,20.5867,3.9903,-1,-0.145,-1,-0.0264,-1,-0.0044
18,23.1717,4.7165,-1,-0.145,-1,-0.0266,-1,-0.0043
19,27.1018,5.9556,-1,-0.1449,-1,-0.0262,-1,-0.0044
20,31.9235,6.7026,-1,-0.1449,-1,-0.0262,-1,-0.0044
21,34.9669,7.0412,-1,-0.1445,-1,-0.0262,-1,-0.0044
22,39.4171,7.246,-1,-0.1448,-1,-0.0263,-1,-0.0045
23,43.246,7.2583,-1,-0.1448,-1,-0.0262,-1,-0.0045
24,46.8321,7.3028,-1,-0.1445,-1,-0.0262,-1,-0.0049
25,51.356,7.3227,-1,-0.1449,-1,-0.0262,-1,-0.0043
26,55.3311,7.1513,-1,-0.1449,-1,-0.0264,-1,-0.0043
27,58.973,6.9242,-1,-0.1448,-1,-0.0263,-1,-0.0045
28,62.4792,6.6511,-1,-0.1449,-1,-0.0262,-1,-0.0041
29,62.3977,4.6993,-1,-0.1456,-1,-0.0268,-1,-0.0046
30,58.6506,3.2073,-1,-0.145,-1,-0.0268,-1,-0.0048
31,55.6181,2.316,-1,-0.1447,-1,-0.0264,-1,-0.0044
32,52.8005,1.3924,-1,-0.1453,-1,-0.0266,-1,-0.0044
33,48.9769,0.6232,-1,-0.1449,-1,-0.0264,-1,-0.0043
34,46.0234,-0.0908,-1,-0.1449,-1,-0.0262,-1,-0.0044
35,43.2562,-0.5175,-1,-0.1453,-1,-0.0262,-1,-0.0047
36,40.5982,-1.0275,-1,-0.1447,-1,-0.0266,-1,-0.0041
37,38.3964,-1.3609,-1,-0.1448,-1,-0.0262,-1,-0.0047
38,36.3869,-1.6788,-1,-0.145,-1,-0.0263,-1,-0.0042
39,33.9393,-2.0334,-1,-0.1445,-1,-0.0262,-1,-0.0041
40,32.0141,-2.2767,-1,-0.1447,-1,-0.0262,-1,-0.0046
41,30.2315,-2.4503,-1,-0.1447,-1,-0.0259,-1,-0.0045
42,28.7298,-2.6429,-1,-0.1446,-1,-0.0264,-1,-0.0046
43,27.3521,-2.7745,-1,-0.1449,-1,-0.0262,-1,-0.0041
44,25.9045,-2.947,-1,-0.1449,-1,-0.0268,-1,-0.0044
45,24.4627,-3.1004,-1,-0.1448,-1,-0.0259,-1,-0.0042
46,23.1136,-3.2596,-1,-0.1448,-1,-0.0262,-1,-0.0043
47,21.7435,-3.3199,-1,-0.1447,-1,-0.0259,-1,-0.0045
48,20.8494,-3.3199,-1,-0.1447,-1,-0.0261,-1,-0.0045
49,19.6583,-3.3193,-1,-0.145,-1,-0.0262,-1,-0.0045
50,18.5445,-3.3187,-1,-0.145,-1,-0.0264,-1,-0.0045
51,17.4745,-3.3196,-1,-0.1445,-1,-0.0263,-1,-0.0044
52,16.6144,-3.3199,-1,-0.1451,-1,-0.0264,-1,-0.004
53,15.6126,-3.3196,-1,-0.1451,-1,-0.0263,-1,-0.0041
