,index,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
762865,3440,1.687,0.0859,1.0,0.0794,1.2006,1.7486,0.7486,2.2789,1.2789,19.2389,1.7696,18.7305,1.7492,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,25.0,0.0,24.0,10.0,0.0,0.0059,53.0891,5.3089,2.0,503.0083,2.0806,-0.0511,1.3581,0.0115,1.3649,0.0011,2.0927,0.0012,2.007,10.0,0.0562,1.0015,0.1268,2.3248,0.0275,1.6607,0.0366,1.7852,0.0,0.0,0.0,29.4758,24.0,23.0,37.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5864,0.0,45.6421,0.0,1.0
762866,3441,1.6894,0.0862,1.0,0.0793,1.2005,1.7487,0.7487,2.2793,1.2793,19.2964,1.7719,18.7149,1.7486,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.125,0.0,24.125,10.0,0.0,0.006,53.0892,5.3089,2.0,508.3997,2.0825,0.0128,1.365,0.0118,1.3649,0.0011,2.0927,0.0012,2.0075,10.0,0.0548,1.0015,0.1092,2.26,0.0245,1.6113,0.0364,1.7827,0.0,0.0,0.0,29.4758,24.0,23.0,37.0,36.0,14.0,0.0,0.0,183.0,0.0,62.5864,0.0,45.6422,0.0,0.0
762867,3442,1.6934,0.0867,1.0,0.0794,1.2005,1.7491,0.7491,2.2793,1.2793,19.2293,1.7692,18.7068,1.7483,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,25.125,0.0,24.125,10.0,0.0,0.0061,53.0891,5.3089,2.0,510.0014,2.083,0.1162,1.3763,0.0097,1.3647,0.0011,2.0927,0.0012,2.0067,10.0,0.0607,1.0016,0.1161,2.2866,0.0275,1.6606,0.0366,1.7851,0.0,0.0,0.0,29.4762,24.0,23.0,36.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5864,0.0,45.6417,0.0,0.0
762868,3443,1.6983,0.0873,1.0,0.0794,1.2005,1.7491,0.7491,2.2792,1.2792,19.1255,1.765,18.7028,1.7481,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,25.125,0.0,24.0,10.0,0.0,0.0063,53.0892,5.3089,2.0,513.81,2.0843,0.1452,1.3795,0.0118,1.3649,0.0011,2.0928,0.0012,2.007,10.0,0.0608,1.0016,0.1129,2.2745,0.024,1.6024,0.0309,1.7115,0.0,0.0,0.0,29.476,24.0,24.0,36.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5865,0.0,45.6422,0.0,0.0
762869,3444,1.6975,0.0872,1.0,0.0794,1.2007,1.749,0.749,2.2791,1.2791,19.059,1.7624,18.7134,1.7485,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,25.125,0.0,24.0,10.0,0.0,0.0056,53.0886,5.3088,2.0,516.7001,2.0853,0.2232,1.388,0.0245,1.3663,0.0011,2.093,0.0012,2.0073,10.0,0.062,1.0017,0.1122,2.272,0.0483,1.9057,0.0325,1.7334,0.0,0.0,0.0,29.4755,24.0,24.0,36.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5861,0.0,45.6418,0.0,0.0
762870,3445,1.6995,0.0874,1.0,0.0793,1.2004,1.7485,0.7485,2.2789,1.2789,19.2182,1.7687,18.7308,1.7492,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.125,0.0,24.125,10.0,0.0,0.0063,53.0889,5.3089,2.0,514.1429,2.0844,0.0703,1.3713,0.0266,1.3665,0.0011,2.093,0.0012,2.0066,10.0,0.0582,1.0016,0.1027,2.2332,0.1404,2.3693,0.0464,1.888,0.0,0.0,0.0,29.4758,24.0,24.0,36.0,36.0,16.0,0.0,0.0,183.0,0.0,62.5858,0.0,45.642,0.0,0.0
762871,3446,1.7015,0.0877,1.0,0.0795,1.201,1.7488,0.7488,2.2794,1.2794,19.2964,1.7719,18.7146,1.7486,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.0,0.0,24.125,10.0,0.0,0.0067,53.0891,5.309,2.0,511.4454,2.0835,0.1276,1.3776,0.0231,1.3662,0.0011,2.0928,0.0012,2.0085,10.0,0.0552,1.0015,0.1681,2.4475,0.1405,2.3696,0.0487,1.9095,0.0,0.0,0.0,29.4757,24.0,24.0,36.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5862,0.0,45.6425,0.0,0.0
762872,3447,1.7037,0.088,1.0,0.0792,1.2,1.7489,0.7489,2.2793,1.2793,19.2247,1.769,18.7008,1.748,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,25.125,0.0,24.0,10.0,0.0,0.0065,53.0888,5.3089,2.0,515.7571,2.085,0.1343,1.3783,0.02,1.3658,0.0011,2.0928,0.0012,2.0065,10.0,0.0553,1.0015,0.1567,2.4168,0.1753,2.4657,0.044,1.8653,0.0,0.0,0.0,29.476,24.0,24.0,36.0,36.0,16.0,0.0,0.0,183.0,0.0,62.5863,0.0,45.6423,0.0,0.0
762873,3448,1.7058,0.0882,1.0,0.079,1.1996,1.7491,0.7491,2.2793,1.2793,19.1152,1.7646,18.703,1.7481,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,25.125,0.0,24.125,10.0,0.0,0.0065,53.0889,5.3089,2.0,513.1433,2.0841,-0.0134,1.3622,0.0286,1.3668,0.0011,2.0929,0.0012,2.0078,10.0,0.053,1.0014,0.1549,2.4119,0.1939,2.5093,0.0416,1.8408,0.0,0.0,0.0,29.4765,24.0,24.0,36.0,36.0,13.0,0.0,0.0,183.0,0.0,62.5868,0.0,45.6425,0.0,0.0
762874,3449,1.7048,0.0881,1.0,0.0795,1.2008,1.749,0.749,2.2791,1.2791,19.0582,1.7623,18.7113,1.7485,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,25.125,0.0,24.0,10.0,0.0,0.0065,53.0883,5.3088,2.0,506.7932,2.0819,-0.1229,1.3502,0.0263,1.3665,0.0011,2.093,0.0012,2.0079,10.0,0.0572,1.0015,0.1427,2.3764,0.1569,2.4175,0.0391,1.8137,0.0,0.0,0.0,29.476,24.0,24.0,36.0,36.0,12.0,0.0,0.0,183.0,0.0,62.5863,0.0,45.6421,0.0,0.0
