,index,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
0,16920.0,1.7096,0.0887,1.0,2.5439,349.8689,1.7568,0.7568,2.3282,1.3282,19.5139,1.7806,18.9256,1.757,100.0,0.0,0.0,0.0,25.375,0.0,26.75,0.0,26.375,0.0,25.625,10.0,0.0,0.0044,52.9202,5.292,2.0,26220000.0,3.9674,0.0397,1.368,0.0364,1.3676,65.4638,4.6463,67.5165,2.8004,1.0,62.4682,2.6658,0.1832,2.4848,2.1195,3.5481,0.079,2.1195,0.0,0.0,0.0,29.9583,26.0,25.0,38.0,38.0,13.0,0.0,0.0,183.0,0.0,62.5867,0.0,46.6463,0.0,0.0
1,16921.0,1.7085,0.0886,1.0,2.5439,349.8564,1.7571,0.7571,2.3283,1.3283,19.4652,1.7786,18.9075,1.7563,100.0,0.0,0.0,0.0,25.375,0.0,26.625,0.0,26.375,0.0,25.625,10.0,0.0,0.0039,52.9199,5.292,2.0,26160000.0,3.9671,0.0033,1.364,0.0302,1.3669,65.4538,4.6463,67.517,2.8005,1.0,62.4763,2.666,0.1497,2.3971,2.3844,3.5992,0.0814,2.1324,0.0,0.0,0.0,29.9583,26.0,25.0,38.0,38.0,13.0,0.0,0.0,183.0,0.0,62.5865,0.0,46.6459,0.0,0.0
2,16922.0,1.7088,0.0886,1.0,2.5439,349.8459,1.7573,0.7573,2.3286,1.3286,19.3718,1.7749,18.9033,1.7561,100.0,0.0,0.0,0.0,25.375,0.0,26.625,0.0,26.375,0.0,25.625,10.0,0.0,0.0049,52.9197,5.292,2.0,26170000.0,3.9671,0.0009,1.3637,0.0333,1.3673,65.4858,4.6464,67.5674,2.8018,1.0,62.4869,2.6663,0.1467,2.3883,2.2751,3.5789,0.0772,2.1096,0.0,0.0,0.0,29.9588,26.0,25.0,38.0,38.0,14.0,0.0,0.0,183.0,0.0,62.5871,0.0,46.6467,0.0,0.0
3,16923.0,1.7106,0.0888,1.0,2.5438,349.8082,1.7572,0.7572,2.3284,1.3284,19.2984,1.7719,18.9092,1.7564,100.0,0.0,0.0,0.0,25.5,0.0,26.625,0.0,26.25,0.0,25.625,10.0,0.0,0.0046,52.9198,5.292,2.0,26170000.0,3.9671,0.0258,1.3665,0.0213,1.366,65.4925,4.6464,67.5351,2.8009,1.0,62.5016,2.6667,0.1483,2.3931,2.3992,3.6019,0.0855,2.1539,0.0,0.0,0.0,29.9584,26.0,25.0,38.0,38.0,15.0,0.0,0.0,183.0,0.0,62.5865,0.0,46.6461,0.0,0.0
4,16924.0,1.7116,0.089,1.0,2.5436,349.6587,1.7568,0.7568,2.3283,1.3283,19.3815,1.7753,18.9338,1.7574,100.0,0.0,0.0,0.0,25.375,0.0,26.625,0.0,26.5,0.0,25.625,10.0,0.0,0.0039,52.9196,5.2919,2.0,26180000.0,3.9672,0.0554,1.3697,0.022,1.366,65.5319,4.6466,67.5636,2.8017,1.0,62.5081,2.6669,0.2043,2.5321,2.3062,3.5847,0.096,2.2039,0.0,0.0,0.0,29.9587,26.0,25.0,38.0,38.0,13.0,0.0,0.0,183.0,0.0,62.5863,0.0,46.646,0.0,0.0
5,16925.0,1.7097,0.0887,1.0,2.5437,349.705,1.7568,0.7568,2.3282,1.3282,19.5314,1.7813,18.926,1.757,100.0,0.0,0.0,0.0,25.375,0.0,26.75,0.0,26.375,0.0,25.5,10.0,0.0,0.0049,52.9195,5.2919,2.0,26220000.0,3.9674,0.0527,1.3694,0.0257,1.3664,65.5349,4.6466,67.5677,2.8018,1.0,62.53,2.6675,0.1882,2.4965,2.4217,3.606,0.0884,2.1681,0.0,0.0,0.0,29.9585,26.0,25.0,38.0,38.0,13.0,0.0,0.0,183.0,0.0,62.5861,0.0,46.6458,0.0,0.0
6,16926.0,1.7085,0.0886,1.0,2.5435,349.5063,1.7572,0.7572,2.3287,1.3287,19.4842,1.7794,18.9078,1.7563,100.0,0.0,0.0,0.0,25.5,0.0,26.75,0.0,26.375,0.0,25.625,10.0,0.0,0.0044,52.9191,5.2919,2.0,26210000.0,3.9674,0.0238,1.3662,0.0282,1.3667,65.479,4.6464,67.5671,2.8018,1.0,62.537,2.6677,0.1788,2.4743,2.3544,3.5937,0.092,2.1857,0.0,0.0,0.0,29.9577,26.0,25.0,38.0,38.0,13.0,0.0,0.0,183.0,0.0,62.5855,0.0,46.6455,0.0,0.0
7,16927.0,1.7095,0.0887,1.0,2.5438,349.7683,1.7573,0.7573,2.3287,1.3287,19.384,1.7754,18.9048,1.7562,100.0,0.0,0.0,0.0,25.375,0.0,26.625,0.0,26.375,0.0,25.5,10.0,0.0,0.0042,52.9192,5.2919,2.0,26210000.0,3.9674,0.0207,1.3659,0.0262,1.3665,65.5248,4.6465,67.5808,2.8022,1.0,62.5348,2.6676,0.1735,2.4612,2.4155,3.6049,0.1004,2.2234,0.0,0.0,0.0,29.9586,26.0,25.0,38.0,38.0,14.0,0.0,0.0,183.0,0.0,62.5868,0.0,46.6459,0.0,0.0
8,16928.0,1.7092,0.0887,1.0,2.5436,349.656,1.7572,0.7572,2.3285,1.3285,19.2926,1.7717,18.9034,1.7561,100.0,0.0,0.0,0.0,25.5,0.0,26.625,0.0,26.375,0.0,25.625,10.0,0.0,0.0037,52.9191,5.2918,2.0,26220000.0,3.9674,0.0106,1.3648,0.0271,1.3666,65.566,4.6467,67.5797,2.8021,1.0,62.5508,2.668,0.2664,2.6475,2.2994,3.5835,0.102,2.2304,0.0,0.0,0.0,29.9582,26.0,25.0,38.0,38.0,14.0,0.0,0.0,183.0,0.0,62.5859,0.0,46.6461,0.0,0.0
9,16929.0,1.7085,0.0886,1.0,2.5438,349.7722,1.7567,0.7567,2.3283,1.3283,19.39,1.7756,18.9274,1.7571,100.0,0.0,0.0,0.0,25.5,0.0,26.875,0.0,26.375,0.0,25.5,10.0,0.0,0.0037,52.9191,5.292,2.0,26180000.0,3.9672,-0.0083,1.3627,0.0157,1.3654,65.5675,4.6467,67.5781,2.8021,1.0,62.5465,2.6679,0.2102,2.5444,2.3767,3.5978,0.0984,2.215,0.0,0.0,0.0,29.9584,26.0,25.0,38.0,38.0,12.0,0.0,0.0,183.0,0.0,62.5866,0.0,46.6463,0.0,0.0
